"BNetzA-ID";"Kraftwerksname";"Blockname";"Energieträger";"KWK
Ja/Nein";"PLZ";"Ort";"Bundesland/
Land";"Inbetrieb-
nahmejahr";"Status";"el. Leistung
06.02.2020";"A 2035:
KWK-Ersatz";"A 2035:
Leistung";"B 2035
KWK-Ersatz";"B 2035:
Leistung";"C 2035:
KWK-Ersatz";"C 2035:
Leistung";"B 2040:
KWK-Ersatz";"B 2040:
Leistung"
"BNAP194";"BNA0640";"ohne";"Abfall";"Ja";"68169";"Mannheim";"BW";2020;"in Betrieb";7,2;"Nein";7,2;"Nein";7,2;"Nein";7,2;"Nein";7,2
"BNAP195";"Turbine I.0";"ohne";"Abfall";"Ja";"68169";"Mannheim";"BW";2020;"In Bau";6;"Nein";6;"Nein";6;"Nein";6;"Nein";6
"BNA1867";"AVG Köln";"Turbosatz 2";"Abfall";"Nein";"50735";"Köln";"NW";2017;"in Betrieb";18;"Nein";18;"Nein";18;"Nein";18;"Nein";18
"BNA1520";"Biomasseheizkraftwerk
Wiesbaden";;"Abfall";"Ja";"65205";"Wiesbaden";"HE";2014;"in Betrieb";10,5;"Nein";10,5;"Nein";10,5;"Nein";10,5;"Nein";10,5
"BNA1510";"Hamburger Rieger";;"Abfall";"Ja";"03130";"Spremberg";"BB";2013;"in Betrieb";18,7;"Nein";18,7;"Nein";18,7;"Nein";18,7;"Nein";18,7
"BNA0641b";"HKW Mannheim";"Turbine D.0";"Abfall";"Ja";"68169";"Mannheim";"BW";2012;"in Betrieb";5,4;"Nein";5,4;"Nein";5,4;"Nein";5,4;"Nein";5,4
"BNA0641c";"HKW Mannheim";"Turbine E.0";"Abfall";"Ja";"68169";"Mannheim";"BW";2012;"in Betrieb";3,9;"Nein";3,9;"Nein";3,9;"Nein";3,9;"Nein";3,9
"BNA1114";"MHKW";"MHKW";"Abfall";"Ja";"28219";"Bremen";"HB";2012;"in Betrieb";44;"Nein";44;"Nein";44;"Nein";44;"Nein";44
"BNA0599";;"entfällt";"Abfall";"Ja";"51373";"Leverkusen";"NW";2011;"in Betrieb";11,6;"Nein";11,6;"Nein";11,6;"Nein";11,6;"Nein";11,6
"BNA1255";"Kraftwerk Schwedt GmbH &
Co.KG";;"Abfall";"Ja";"16303";"Schwedt";"BB";2011;"in Betrieb";28,9;"Nein";28,9;"Nein";28,9;"Nein";28,9;"Nein";28,9
"BNA1447b";;"G3/Kontu";"Abfall";"Nein";"67547";"Worms";"RP";2011;"in Betrieb";6,9;"Nein";6,9;"Nein";6,9;"Nein";6,9;"Nein";6,9
"BNA0088b";"Dampfturbinenanlage der
EBS-Kessel";;"Abfall";"Ja";"06406";"Bernburg";"ST";2010;"in Betrieb";35;"Nein";35;"Nein";35;"Nein";35;"Nein";35
"BNA1108";"PD energy GmbH";;"Abfall";"Ja";"06749";"Bitterfeld -Wolfen";"ST";2010;"in Betrieb";9,9;"Nein";9,9;"Nein";9,9;"Nein";9,9;"Nein";9,9
"BNA1330";"Steinbeis Energie";;"Abfall";"Ja";"25348";"Glückstadt";"SH";2010;"in Betrieb";17;"Nein";17;"Nein";17;"Nein";17;"Nein";17
"BNA0139";"KW Hafen";"MKK";"Abfall";"Nein";"28237";"Bremen";"HB";2009;"in Betrieb";33;"Nein";33;"Nein";33;"Nein";33;"Nein";33
"BNA0641a";"HKW Mannheim";"Turbine 60";"Abfall";"Ja";"68169";"Mannheim";"BW";2009;"in Betrieb";22,1;"Nein";22,1;"Nein";22,1;"Nein";22,1;"Nein";22,1
"BNA0855";"IKW Rüdersdorf";;"Abfall";"Nein";"15562";"Rüdersdorf bei Berlin";"BB";2009;"in Betrieb";30;"Nein";30;"Nein";30;"Nein";30;"Nein";30
"BNA0939a";"Restmüll-Heizkraftwerk
Stuttgart-Münster";"MÜN DT19 neu";"Abfall";"Ja";"70376";"Stuttgart";"BW";2009;"in Betrieb";19,5;"Nein";19,5;"Nein";19,5;"Nein";19,5;"Nein";19,5
"BNA1144";"EEW Göppingen";"Turb. Neu";"Abfall";"Ja";"73037";"Göppingen";"BW";2009;"in Betrieb";11;"Nein";11;"Nein";11;"Nein";11;"Nein";11
"BNA1155";"RZR Herten II";"RZR II";"Abfall";"Nein";"45699";"Herten";"NW";2009;"in Betrieb";11,7;"Nein";11,7;"Nein";11,7;"Nein";11,7;"Nein";11,7
"BNA1199";"MHKW Mainz";;"Abfall";"Ja";"55120";"Mainz";"RP";2009;"in Betrieb";15,6;"Nein";15,6;"Nein";15,6;"Nein";15,6;"Nein";15,6
"BNA1233";"EVE";"EVE";"Abfall";"Ja";"14727";"Premnitz";"BB";2009;"in Betrieb";14,5;"Nein";14,5;"Nein";14,5;"Nein";14,5;"Nein";14,5
"BNA1243";"EBS-HKW Rostock";;"Abfall";"Ja";"18147";"Rostock";"MV";2009;"in Betrieb";17;"Nein";17;"Nein";17;"Nein";17;"Nein";17
"BNA1291";"IHKW Andernach";;"Abfall";"Ja";"56626";"Andernach";"RP";2009;"in Betrieb";12,5;"Nein";12,5;"Nein";12,5;"Nein";12,5;"Nein";12,5
"BNA0380";"EEW Großräschen";;"Abfall";"Ja";"01983";"Großräschen";"BB";2008;"in Betrieb";23,3;"Nein";23,3;"Nein";23,3;"Nein";23,3;"Nein";23,3
"BNA1262";"REMONDIS Thermische
Abfallverwertung GmbH";;"Abfall";"Ja";"39418";"Staßfurt";"ST";2008;"in Betrieb";24;"Nein";24;"Nein";24;"Nein";24;"Nein";24
"BNA1490";"EBKW Knapsack";;"Abfall";"Ja";"50354";"Hürth";"NW";2008;"in Betrieb";33,4;"Nein";33,4;"Nein";33,4;"Nein";33,4;"Nein";33,4
"BNA0591";"TREA Leuna";"Linie 2";"Abfall";"Nein";"06237";"Leuna";"ST";2007;"in Betrieb";16,3;"Nein";16,3;"Nein";16,3;"Nein";16,3;"Nein";16,3
"BNA1286";"Restabfallbehandlungsanlage";1;"Abfall";"Ja";"98544";"Zella-Mehlis";"TH";2007;"in Betrieb";12,1;"Nein";12,1;"Nein";12,1;"Nein";12,1;"Nein";12,1
"BNA0287b";"MHKW Frankfurt";"T 7";"Abfall";"Ja";"60439";"Frankfurt am
Main";"HE";2006;"in Betrieb";46,5;"Nein";46,5;"Nein";46,5;"Nein";46,5;"Nein";46,5
"BNA0623";"MHKW Rothensee";"Block 2";"Abfall";"Ja";"39126";"Magdeburg";"ST";2006;"in Betrieb";29,2;"Nein";29,2;"Nein";29,2;"Nein";29,2;"Nein";29,2
"BNA0751";"GMVA Niederrhein";"Ausspeisung
10/25kV (Turbine
1)";"Abfall";"Ja";"46049";"Oberhausen";"NW";2006;"in Betrieb";21,1;"Nein";21,1;"Nein";21,1;"Nein";21,1;"Nein";21,1
"BNA0417";"EEW Energy from Waste
Hannover GmbH";"Hannover";"Abfall";"Nein";"30659";"Hannover";"NI";2005;"in Betrieb";22,5;"Nein";22,5;"Nein";22,5;"Nein";22,5;"Nein";22,5
"BNA0590";"TREA Leuna";"Linie 1";"Abfall";"Nein";"06237";"Leuna";"ST";2005;"in Betrieb";16,3;"Nein";16,3;"Nein";16,3;"Nein";16,3;"Nein";16,3
"BNA0622";"MHKW Rothensee";"Block 1";"Abfall";"Ja";"39126";"Magdeburg";"ST";2005;"in Betrieb";29,2;"Nein";29,2;"Nein";29,2;"Nein";29,2;"Nein";29,2
"BNA0640";"HKW Mannheim";"Turbine 3";"Abfall";"Nein";"68169";"Mannheim";"BW";2005;"in Betrieb";8,7;"Nein";8,7;"Nein";8,7;"Nein";8,7;"Nein";8,7
"BNA1139";"TREA Breisgau";;"Abfall";"Ja";"79427";"Eschbach";"BW";2005;"in Betrieb";13,6;"Nein";13,6;"Nein";13,6;"Nein";13,6;"Nein";13,6
"BNA1198";"SITA Abfallverwertung GmbH";;"Abfall";"Ja";"06686";"Lützen OT Zorbau";"ST";2005;"in Betrieb";23;"Nein";23;"Nein";23;"Nein";23;"Nein";23
"BNA1190";"Thermische Abfallbehandlung
Lauta GmbH & Co. oHG";;"Abfall";"Ja";"02991";"Lauta";"SN";2004;"in Betrieb";15,7;"Nein";15,7;"Nein";15,7;"Nein";15,7;"Nein";15,7
"BNA1232";"ZWSF";"ZWSF";"Abfall";"Nein";"14727";"Premnitz";"BB";2002;"in Betrieb";2,5;"Nein";2,5;"Nein";2,5;"Nein";2,5;"Nein";2,5
"BNA1186b";"MKVA Krefeld";"Turbine 4";"Abfall";"Nein";"47829";"Krefeld";"NW";2001;"in Betrieb";13,8;"Nein";13,8;"Nein";13,8;"Nein";13,8;"Nein";13,8
"BNA0223b";"DT";"Flingern T1";"Abfall";"Ja";"40233";"Düsseldorf";"NW";2000;"in Betrieb";53,7;"Nein";53,7;"Nein";53,7;"Nein";53,7;"Nein";53,7
"BNA0398";"MVR Müllverwertung
Rugenberger Damm GmbH &
Co. KG";;"Abfall";"Ja";"21129";"Hamburg";"HH";1999;"in Betrieb";24;"Nein";24;"Nein";24;"Nein";24;"Nein";24
"BNA1110";"Restmüllheizkraftwerk
Böblingen";"Müllverbrennung";"Abfall";"Nein";"71032";"Böblingen";"BW";1999;"in Betrieb";9,5;"Nein";9,5;"Nein";9,5;"Nein";9,5;"Nein";9,5
"BNA1229";"MHKW Pirmasens";;"Abfall";"Ja";"66954";"Pirmasens";"RP";1999;"in Betrieb";15;"Nein";15;"Nein";15;"Nein";15;"Nein";15
"BNA1448";"AHKW Neunkirchen";"Linie 3 + 4";"Abfall";"Ja";"66538";"Neunkirchen";"SL";1999;"in Betrieb";11,6;"Nein";11,6;"Nein";11,6;"Nein";11,6;"Nein";11,6
"BNA0084";"Reuter";"Reuter M";"Abfall";"Ja";"13599";"Berlin";"BE";1998;"in Betrieb";36;"Nein";36;"Nein";36;"Nein";36;"Nein";36
"BNA0287a";"MHKW Frankfurt";"T 3";"Abfall";"Ja";"60440";"Frankfurt am
Main";"HE";1998;"in Betrieb";26;"Nein";26;"Nein";26;"Nein";26;"Nein";26
"BNA0438";"TRV Buschhaus";"Linie 1-3";"Abfall";"Nein";"38350";"Helmstedt";"NI";1998;"in Betrieb";37,5;"Nein";37,5;"Nein";37,5;"Nein";37,5;"Nein";37,5
"BNA1449b";"Turbosatz 2";;"Abfall";"Ja";"97076";"Würzburg";"BY";1998;"in Betrieb";12;"Nein";12;"Nein";12;"Nein";12;"Nein";12
"BNA1167";"Abfallentsorgungszentrum
Asdonkshof";"MVA";"Abfall";"Ja";"47475";"Kamp-Lintfort";"NW";1997;"in Betrieb";16;"Nein";16;"Nein";16;"Nein";16;"Nein";16
"BNA1184";"RMVA Köln";"RMVA Köln";"Abfall";"Ja";"50735";"Köln";"NW";1997;"in Betrieb";45,1;"Nein";45,1;"Nein";45,1;"Nein";45,1;"Nein";45,1
"BNA1186d";"MKVA Krefeld";"Turbine 5";"Abfall";"Ja";"47829";"Krefeld";"NW";1997;"in Betrieb";2,8;"Nein";2,8;"Nein";2,8;"Nein";2,8;"Nein";2,8
"BNA1244";"AVA Velsen";;"Abfall";"Nein";"66127";"Saarbrücken-
Velsen";"SL";1997;"in Betrieb";16;"Nein";16;"Nein";16;"Nein";16;"Nein";16
"BNA0746";"HKW Sandreuth";;"Abfall";"Ja";"90441";"Nürnberg";"BY";1996;"in Betrieb";18;"Nein";18;"Nein";18;"Nein";18;"Nein";18
"BNA1020";"MVA Weisweiler";"MVA";"Abfall";"Nein";"52249";"Weisweiler";"NW";1996;"in Betrieb";27;"Nein";27;"Nein";27;"Nein";27;"Nein";27
"BNA0895";"GKS";"entfällt";"Abfall";"Ja";"97424";"Schweinfurt";"BY";1994;"in Betrieb";24,4;"Nein";24,4;"Nein";24,4;"Nein";24,4;"Nein";24,4
"BNA1119";"MHKW Burgkirchen";;"Abfall";"Nein";"84508";"Burgkirchen";"BY";1994;"in Betrieb";12,5;"Nein";12,5;"Nein";12,5;"Nein";12,5;"Nein";12,5
"BNA1295";"AVA GmbH";"AHKW";"Abfall";"Ja";"86167";"Augsburg";"BY";1993;"in Betrieb";10;"Nein";10;"Nein";10;"Nein";10;"Nein";10
"BNA0969a";"Nord 1";1;"Abfall";"Ja";"85774";"Unterföhring";"BY";1992;"in Betrieb";18;"Nein";18;"Nein";18;"Nein";18;"Nein";18
"BNA0117a";"Heizkraftwerk Karlstraße";"Heizkraftwerk
Karlstraße";"Abfall";"Ja";"53115";"Bonn";"NW";1991;"in Betrieb";12;"Nein";12;"Nein";12;"Nein";12;"Nein";12
"BNA0750";"GMVA Niederrhein";"Ausspeisung
10/110kV
(Turbine 2)";"Abfall";"Ja";"46049";"Oberhausen";"NW";1990;"in Betrieb";40,4;"Nein";40,4;"Nein";40,4;"Nein";40,4;"Nein";40,4
"BNA1447a";;"G2";"Abfall";"Ja";"67547";"Worms";"RP";1990;"in Betrieb";11,9;"Nein";11,9;"Nein";11,9;"Nein";11,9;"Nein";11,9
"BNA0845";"MHKW, WKW";"T1a/b, T2";"Abfall";"Ja";"83022";"Rosenheim";"BY";1988;"in Betrieb";9;"Nein";9;"Nein";9;"Nein";9;"Nein";9
"BNA0519";"Karnap";"B";"Abfall";"Ja";"45329";"Essen";"NW";1987;"in Betrieb";38;"Nein";38;"Nein";38;"Nein";38;"Nein";38
"BNA1148";"MVA Hamm";;"Abfall";"Ja";"59075";"Hamm";"NW";1985;"in Betrieb";14,6;"Nein";14,6;"Nein";14,6;"Nein";14,6;"Nein";14,6
"BNA1168";"Müllheizkraftwerk";;"Abfall";"Ja";"34123";"Kassel";"HE";1985;"in Betrieb";14,7;"Nein";14,7;"Nein";14,7;"Nein";14,7;"Nein";14,7
"BNA0969c";"Nord 3";3;"Abfall";"Ja";"85774";"Unterföhring";"BY";1984;"in Betrieb";22;"Nein";22;"Nein";22;"Nein";22;"Nein";22
"BNA1161";"MVA Ingolstadt";"Müllheizkraftwerk
(MHKW)";"Abfall";"Ja";"85055";"Ingolstadt";"BY";1984;"in Betrieb";25,5;"Nein";25,5;"Nein";25,5;"Nein";25,5;"Nein";25,5
"BNA1449a";"Turbosatz 1";;"Abfall";"Ja";"97076";"Würzburg";"BY";1984;"in Betrieb";8,7;"Nein";8,7;"Nein";8,7;"Nein";8,7;"Nein";8,7
"BNA1154";"RZR Herten I";"RZR I";"Abfall";"Ja";"45699";"Herten";"NW";1982;"in Betrieb";15,5;"Nein";15,5;"Nein";15,5;"Nein";15,5;"Nein";15,5
"BNA1186a";"MKVA Krefeld";"Turbine 3";"Abfall";"Ja";"47829";"Krefeld";"NW";1982;"in Betrieb";13,5;"Nein";13,5;"Nein";13,5;"Nein";13,5;"Nein";13,5
"BNA1254";"Müllkraftwerk Schwandorf";;"Abfall";"Ja";"92421";"Schwandorf";"BY";1982;"in Betrieb";54;"Nein";54;"Nein";54;"Nein";54;"Nein";54
"BNA0097";"MVA Bielefeld";"Linien 1 - 3";"Abfall";"Ja";"33609";"Bielefeld";"NW";1981;"in Betrieb";34;"Nein";34;"Nein";34;"Nein";34;"Nein";34
"BNA1289";"AMK - Abfallentsorgungsge-
sellschaft des Märkischen
Kreises mbH";;"Abfall";"Ja";"58636";"Iserlohn";"NW";1981;"in Betrieb";12,6;"Nein";12,6;"Nein";12,6;"Nein";12,6;"Nein";12,6
"BNA1261";;;"Abfall";"Ja";"22145";"Stapelfeld";"SH";1978;"in Betrieb";16,4;"Nein";16,4;"Nein";16,4;"Nein";16,4;"Nein";16,4
"BNA1116";"BEG";;"Abfall";"Ja";"27570";"Bremerhaven";"HB";1977;"in Betrieb";14;"Nein";14;"Nein";14;"Nein";14;"Nein";14
"BNA1186c";"MKVA Krefeld";"Turbine 2";"Abfall";"Ja";"47829";"Krefeld";"NW";1976;"in Betrieb";1,5;"Nein";1,5;"Nein";1,5;"Nein";1,5;"Nein";1,5
"BNA1186e";"MKVA Krefeld";"Turbine 1";"Abfall";"Ja";"47829";"Krefeld";"NW";1976;"in Betrieb";1,5;"Nein";1,5;"Nein";1,5;"Nein";1,5;"Nein";1,5
"BNA1316";"Müllheizkraftwerk";;"Abfall";"Ja";"42349";"Wuppertal";"NW";1976;"in Betrieb";30;"Nein";30;"Nein";30;"Nein";30;"Nein";30
"BNA1222";"Müllheizkraftwerk Offenbach";;"Abfall";"Ja";"63069";"Offenbach";"HE";1972;"in Betrieb";14,5;"Nein";14,5;"Nein";14,5;"Nein";14,5;"Nein";14,5
"BNA1197";"FHKW Ludwigshafen";"FHKW";"Abfall";"Ja";"67063";"Ludwigshafen";"RP";1967;"in Betrieb";28;"Nein";28;"Nein";28;"Nein";28;"Nein";28
"BNA0223a";"DT";"Flingern T4";"Abfall";"Nein";"40233";"Düsseldorf";"NW";1955;"in Betrieb";48,9;"Nein";48,9;"Nein";48,9;"Nein";48,9;"Nein";48,9
"BNA0407";"Enertec Hameln";"Linien 1,3,4";"Abfall";"Ja";"31789";"Hameln";"NI";1912;"in Betrieb";13,2;"Nein";13,2;"Nein";13,2;"Nein";13,2;"Nein";13,2
"BNAP232";"BNA1154";"RZR I";"Abfall";"Ja";"45699";"Herten";"NW";;"In Planung";0;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNAP233";"BNA1155";"RZR II";"Abfall";"Ja";"45699";"Herten";"NW";;"In Planung";11,7;"Nein";11,7;"Nein";11,7;"Nein";11,7;"Nein";11,7
"KW<10 MW";;;"Abfall";"Ja";;"ohne
Zuordnung";;;"in Betrieb";141,4;"Nein";141,4;"Nein";141,4;"Nein";141,4;"Nein";141,4
"BNA1141";"P&L Werk Euskirchen";"Kessel 4 / 6";"Braunkohle";"Ja";"53879";"Euskirchen";"NW";2013;"in Betrieb";14,5;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA1401a";"BoA 2";"Neurath F";"Braunkohle";"Nein";"41517";"Grevenbroich";"NW";2012;"in Betrieb";1060;"Nein";1060;"Nein";0;"Nein";0;"Nein";0
"BNA1401b";"BoA 3";"Neurath G";"Braunkohle";"Nein";"41517";"Grevenbroich";"NW";2012;"in Betrieb";1060;"Nein";1060;"Nein";0;"Nein";0;"Nein";0
"BNA1404";"Boxberg";"R";"Braunkohle";"Nein";"02943";"Boxberg";"SN";2012;"in Betrieb";640;"Nein";640;"Nein";0;"Nein";0;"Nein";0
"BNA0543";"HKW Merkenich";"Block 6";"Braunkohle";"Ja";"50769";"Köln";"NW";2010;"in Betrieb";75,3;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA1461";;;"Braunkohle";"Ja";"06712";"Zeitz";"ST";2005;"in Betrieb";17,5;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA1164";"P&L Werk Jülich";"Kessel 5";"Braunkohle";"Ja";"52428";"Jülich";"NW";2004;"in Betrieb";23,2;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0709";"Niederaußem";"K";"Braunkohle";"Ja";"50129";"Bergheim";"NW";2002;"in Betrieb";944;"Nein";944;"Nein";0;"Nein";0;"Nein";0
"BNA0115";"Lippendorf";"R";"Braunkohle";"Ja";"04007";"Böhlen";"SN";2000;"in Betrieb";875;"Nein";875;"Nein";0;"Nein";0;"Nein";0
"BNA0124";"Boxberg";"Q";"Braunkohle";"Ja";"02943";"Boxberg";"SN";2000;"in Betrieb";857;"Nein";857;"Nein";0;"Nein";0;"Nein";0
"BNA0116";"Braunkohlekraftwerk
Lippendorf";"LIP S";"Braunkohle";"Ja";"04564";"Böhlen";"SN";1999;"in Betrieb";875;"Nein";875;"Nein";0;"Nein";0;"Nein";0
"BNA0183";"HKW Cottbus";1;"Braunkohle";"Ja";"03052";"Cottbus";"BB";1999;"in Betrieb *";74;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0915";"Schwarze Pumpe";"B";"Braunkohle";"Ja";"03130";"Spremberg";"BB";1998;"in Betrieb";750;"Nein";750;"Nein";0;"Nein";0;"Nein";0
"BNA0914";"Schwarze Pumpe";"A";"Braunkohle";"Ja";"03130";"Spremberg";"BB";1997;"in Betrieb";750;"Nein";750;"Nein";0;"Nein";0;"Nein";0
"BNA0878";"Schkopau";"A";"Braunkohle";"Ja";"06258";"Schkopau";"ST";1996;"in Betrieb";450;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0879";"Schkopau";"B";"Braunkohle";"Ja";"06258";"Schkopau";"ST";1996;"in Betrieb";450;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA1293a";"Kraftwerk";"K1/TG1";"Braunkohle";"Ja";"50127";"Bergheim";"NW";1995;"in Betrieb";10;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA1293b";"Kraftwerk";"K2/TG2";"Braunkohle";"Ja";"50127";"Bergheim";"NW";1995;"in Betrieb";10;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA1002";"Wählitz";;"Braunkohle";"Ja";"06679";"Wählitz";"ST";1994;"in Betrieb";31;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0490a";"Goldenberg";"F";"Braunkohle";"Ja";"50354";"Hürth";"NW";1993;"in Betrieb";0;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA1185";"P&L Werk Könnern";"Kessel 1 und 2";"Braunkohle";"Ja";"06420";"Könnern";"ST";1993;"in Betrieb";20,3;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA1400a";"EZ1";"WSK";"Braunkohle";"Ja";"06712";"Zeitz";"ST";1993;"in Betrieb";23,3;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0489";"Goldenberg";"E, Besicherung F";"Braunkohle";"Ja";"50354";"Hürth";"NW";1992;"Vorläufig
Stillgelegt";40;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0491";"Ville/Berrenrath";"Ville/Berrenrath";"Braunkohle";"Ja";"50354";"Hürth";"NW";1991;"in Betrieb";98;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0179";"HKW Chemnitz Nord II";"Block C";"Braunkohle";"Ja";"09116";"Chemnitz";"SN";1990;"in Betrieb";90,8;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0790";"KW Jänschwalde";"F";"Braunkohle";"Ja";"03185";"Peitz";"BB";1989;"BK-
Sicherheits-
bereitschaft";465;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0177";"HKW Chemnitz Nord II";"Block B";"Braunkohle";"Ja";"09115";"Chemnitz";"SN";1988;"in Betrieb";56,8;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0523";"FKK";;"Braunkohle";"Ja";"34134";"Kassel";"HE";1988;"in Betrieb";33,5;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0789";"KW Jänschwalde";"E";"Braunkohle";"Ja";"03185";"Peitz";"BB";1987;"BK-
Sicherheitsbereitschaft";465;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0439";"Buschhaus";"D";"Braunkohle";"Nein";"38350";"Helmstedt";"NI";1985;"BK-
Sicherheits-
bereitschaft";352;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0788";"KW Jänschwalde";"D";"Braunkohle";"Ja";"03185";"Peitz";"BB";1985;"in Betrieb";465;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0714";"Fortuna Nord";"Fortuna Nord";"Braunkohle";"Ja";"50129";"Bergheim";"NW";1984;"in Betrieb";15;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0787";"KW Jänschwalde";"C";"Braunkohle";"Ja";"03185";"Peitz";"BB";1984;"in Betrieb";465;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA1511a";"Kessel 4";;"Braunkohle";"Ja";"52355";"Düren";"NW";1983;"in Betrieb";9,3;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0786";"KW Jänschwalde";"B";"Braunkohle";"Ja";"03185";"Peitz";"BB";1982;"in Betrieb";465;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0785";"KW Jänschwalde";"A";"Braunkohle";"Ja";"03185";"Peitz";"BB";1981;"in Betrieb";465;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0123";"Boxberg";"P";"Braunkohle";"Ja";"02943";"Boxberg";"SN";1980;"in Betrieb";465;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0122";"Boxberg";"N";"Braunkohle";"Ja";"02943";"Boxberg";"SN";1979;"in Betrieb";465;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA1486";"Grubenheizkraftwerk";;"Braunkohle";"Ja";"06317";"Seegebiet
Mansfelder
Land";"ST";1979;"in Betrieb";45;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA1097";"Kohlekraftwerk";"K06";"Braunkohle";"Ja";"53909";"Zülpich";"NW";1978;"in Betrieb";19,5;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0700";"Neurath";"E";"Braunkohle";"Ja";"41517";"Grevenbroich-
Neurath";"NW";1976;"in Betrieb";604;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0699";"Neurath";"D";"Braunkohle";"Ja";"41517";"Grevenbroich-
Neurath";"NW";1975;"in Betrieb";607;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA1028";"Weisweiler";"H";"Braunkohle";"Ja";"52249";"Eschweiler-
Weisweiler";"NW";1975;"in Betrieb";656;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0707";"Niederaußem";"H";"Braunkohle";"Ja";"50129";"Bergheim";"NW";1974;"in Betrieb";648;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0708";"Niederaußem";"G";"Braunkohle";"Ja";"50129";"Bergheim";"NW";1974;"in Betrieb";628;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA1027";"Weisweiler";"G";"Braunkohle";"Ja";"52249";"Eschweiler-
Weisweiler";"NW";1974;"in Betrieb";663;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0698";"Neurath";"C";"Braunkohle";"Nein";"41517";"Grevenbroich-
Neurath";"NW";1973;"BK-
Sicherheits-
bereitschaft";292;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0696";"Neurath";"A";"Braunkohle";"Nein";"41517";"Grevenbroich-
Neurath";"NW";1972;"in Betrieb";294;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0697";"Neurath";"B";"Braunkohle";"Nein";"41517";"Grevenbroich-
Neurath";"NW";1972;"in Betrieb";294;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0706";"Niederaußem";"F";"Braunkohle";"Ja";"50129";"Bergheim";"NW";1971;"BK-
Sicherheits-
bereitschaft";299;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0314";"Frimmersdorf";"Q";"Braunkohle";"Nein";"41517";"Grevenbroich-
Frimmersdorf";"NW";1970;"BK-
Sicherheits-
bereitschaft";278;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0713";"Niederaußem";"E";"Braunkohle";"Nein";"50129";"Bergheim";"NW";1970;"BK-
Sicherheits-
bereitschaft";295;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0705";"Niederaußem";"D";"Braunkohle";"Ja";"50129";"Bergheim";"NW";1968;"in Betrieb";297;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA1026";"Weisweiler";"F";"Braunkohle";"Nein";"52249";"Eschweiler-
Weisweiler";"NW";1967;"in Betrieb";321;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0313";"Frimmersdorf";"P";"Braunkohle";"Ja";"41517";"Grevenbroich-
Frimmersdorf";"NW";1966;"BK-
Sicherheitsbereitschaft";284;"Nein";0;"Nein";0;"Nein";0;"Nein";0
"BNA0712";"Niederaußem";"C";"Braunkohle";"Ja";"50129";"Bergheim";"NW";1965;"in Betrieb";295;"Nein";0;"Nein";0;"Nein";0;"Nein";0
